sample_id,species,individual_id,replicate_id,condition,timepoint,assay,measurement,value,unit,perturbation,dose,dose_unit,recovery_time,batch,plate_id,well_id,file,notes
immune_xenopus_resp_cytokine,Xenopus_tropicalis,xenopus_001,rep1,immune_challenge,24h,immune_response,cytokine_signal,0.52,ratio,,,,,profile_examples,plate1,A30,,immune response template
immune_xenopus_resp_damage,Xenopus_tropicalis,xenopus_001,rep1,immune_challenge,24h,immune_response,tissue_damage,0.18,ratio,,,,,profile_examples,plate1,A31,,immune response template
immune_xenopus_resp_inflammation,Xenopus_tropicalis,xenopus_001,rep1,immune_challenge,24h,immune_response,inflammation_baseline,0.59,ratio,,,,,profile_examples,plate1,A32,,immune response template
metabolic_mouse_base_glucose,Mus_musculus,mouse_001,rep1,fed,0h,metabolic_response,glucose_clearance,0.55,ratio,,,,,profile_examples,plate2,B01,,metabolic response template
metabolic_mouse_base_lipid,Mus_musculus,mouse_001,rep1,fed,0h,metabolic_response,lipid_mobilization,0.35,ratio,,,,,profile_examples,plate2,B02,,metabolic response template
metabolic_mouse_base_oxygen,Mus_musculus,mouse_001,rep1,fed,0h,metabolic_response,oxygen_efficiency,0.50,ratio,,,,,profile_examples,plate2,B03,,metabolic response template
metabolic_mouse_base_heat,Mus_musculus,mouse_001,rep1,fed,0h,metabolic_response,heat_output,0.70,ratio,,,,,profile_examples,plate2,B04,,metabolic response template
metabolic_mouse_resp_glucose,Mus_musculus,mouse_001,rep1,fasted,12h,metabolic_response,glucose_clearance,0.70,ratio,,,,,profile_examples,plate2,B05,,metabolic response template
metabolic_mouse_resp_lipid,Mus_musculus,mouse_001,rep1,fasted,12h,metabolic_response,lipid_mobilization,0.85,ratio,,,,,profile_examples,plate2,B06,,metabolic response template
metabolic_mouse_resp_oxygen,Mus_musculus,mouse_001,rep1,fasted,12h,metabolic_response,oxygen_efficiency,0.62,ratio,,,,,profile_examples,plate2,B07,,metabolic response template
metabolic_mouse_resp_heat,Mus_musculus,mouse_001,rep1,fasted,12h,metabolic_response,heat_output,0.72,ratio,,,,,profile_examples,plate2,B08,,metabolic response template
metabolic_fish_base_glucose,Danio_rerio,fish_001,rep1,fed,0h,metabolic_response,glucose_clearance,0.50,ratio,,,,,profile_examples,plate2,B09,,metabolic response template
metabolic_fish_base_lipid,Danio_rerio,fish_001,rep1,fed,0h,metabolic_response,lipid_mobilization,0.30,ratio,,,,,profile_examples,plate2,B10,,metabolic response template
metabolic_fish_base_oxygen,Danio_rerio,fish_001,rep1,fed,0h,metabolic_response,oxygen_efficiency,0.47,ratio,,,,,profile_examples,plate2,B11,,metabolic response template
metabolic_fish_base_heat,Danio_rerio,fish_001,rep1,fed,0h,metabolic_response,heat_output,0.66,ratio,,,,,profile_examples,plate2,B12,,metabolic response template
metabolic_fish_resp_glucose,Danio_rerio,fish_001,rep1,fasted,12h,metabolic_response,glucose_clearance,0.66,ratio,,,,,profile_examples,plate2,B13,,metabolic response template
metabolic_fish_resp_lipid,Danio_rerio,fish_001,rep1,fasted,12h,metabolic_response,lipid_mobilization,0.78,ratio,,,,,profile_examples,plate2,B14,,metabolic response template
metabolic_fish_resp_oxygen,Danio_rerio,fish_001,rep1,fasted,12h,metabolic_response,oxygen_efficiency,0.58,ratio,,,,,profile_examples,plate2,B15,,metabolic response template
metabolic_fish_resp_heat,Danio_rerio,fish_001,rep1,fasted,12h,metabolic_response,heat_output,0.70,ratio,,,,,profile_examples,plate2,B16,,metabolic response template
metabolic_chicken_base_glucose,Gallus_gallus,chicken_001,rep1,fed,0h,metabolic_response,glucose_clearance,0.52,ratio,,,,,profile_examples,plate2,B17,,metabolic response template
metabolic_chicken_base_lipid,Gallus_gallus,chicken_001,rep1,fed,0h,metabolic_response,lipid_mobilization,0.34,ratio,,,,,profile_examples,plate2,B18,,metabolic response template
metabolic_chicken_base_oxygen,Gallus_gallus,chicken_001,rep1,fed,0h,metabolic_response,oxygen_efficiency,0.49,ratio,,,,,profile_examples,plate2,B19,,metabolic response template
metabolic_chicken_base_heat,Gallus_gallus,chicken_001,rep1,fed,0h,metabolic_response,heat_output,0.68,ratio,,,,,profile_examples,plate2,B20,,metabolic response template
metabolic_chicken_resp_glucose,Gallus_gallus,chicken_001,rep1,fasted,12h,metabolic_response,glucose_clearance,0.68,ratio,,,,,profile_examples,plate2,B21,,metabolic response template
metabolic_chicken_resp_lipid,Gallus_gallus,chicken_001,rep1,fasted,12h,metabolic_response,lipid_mobilization,0.82,ratio,,,,,profile_examples,plate2,B22,,metabolic response template
metabolic_chicken_resp_oxygen,Gallus_gallus,chicken_001,rep1,fasted,12h,metabolic_response,oxygen_efficiency,0.60,ratio,,,,,profile_examples,plate2,B23,,metabolic response template
metabolic_chicken_resp_heat,Gallus_gallus,chicken_001,rep1,fasted,12h,metabolic_response,heat_output,0.71,ratio,,,,,profile_examples,plate2,B24,,metabolic response template
metabolic_xenopus_base_glucose,Xenopus_tropicalis,xenopus_001,rep1,fed,0h,metabolic_response,glucose_clearance,0.48,ratio,,,,,profile_examples,plate2,B25,,metabolic response template
metabolic_xenopus_base_lipid,Xenopus_tropicalis,xenopus_001,rep1,fed,0h,metabolic_response,lipid_mobilization,0.28,ratio,,,,,profile_examples,plate2,B26,,metabolic response template
metabolic_xenopus_base_oxygen,Xenopus_tropicalis,xenopus_001,rep1,fed,0h,metabolic_response,oxygen_efficiency,0.44,ratio,,,,,profile_examples,plate2,B27,,metabolic response template
metabolic_xenopus_base_heat,Xenopus_tropicalis,xenopus_001,rep1,fed,0h,metabolic_response,heat_output,0.64,ratio,,,,,profile_examples,plate2,B28,,metabolic response template
metabolic_xenopus_resp_glucose,Xenopus_tropicalis,xenopus_001,rep1,fasted,12h,metabolic_response,glucose_clearance,0.62,ratio,,,,,profile_examples,plate2,B29,,metabolic response template
metabolic_xenopus_resp_lipid,Xenopus_tropicalis,xenopus_001,rep1,fasted,12h,metabolic_response,lipid_mobilization,0.73,ratio,,,,,profile_examples,plate2,B30,,metabolic response template
metabolic_xenopus_resp_oxygen,Xenopus_tropicalis,xenopus_001,rep1,fasted,12h,metabolic_response,oxygen_efficiency,0.55,ratio,,,,,profile_examples,plate2,B31,,metabolic response template
metabolic_xenopus_resp_heat,Xenopus_tropicalis,xenopus_001,rep1,fasted,12h,metabolic_response,heat_output,0.69,ratio,,,,,profile_examples,plate2,B32,,metabolic response template
stress_mouse_base_survival,Mus_musculus,mouse_001,rep1,ambient,0h,stress_tolerance,survival_fraction,0.95,ratio,,,,,profile_examples,plate3,C01,,stress tolerance template
stress_mouse_base_recovery,Mus_musculus,mouse_001,rep1,ambient,0h,stress_tolerance,recovery_rate,0.80,ratio,,,,,profile_examples,plate3,C02,,stress tolerance template
stress_mouse_base_damage,Mus_musculus,mouse_001,rep1,ambient,0h,stress_tolerance,damage_marker,0.08,ratio,,,,,profile_examples,plate3,C03,,stress tolerance template
stress_mouse_base_intensity,Mus_musculus,mouse_001,rep1,ambient,0h,stress_tolerance,stress_intensity,0.50,ratio,,,,,profile_examples,plate3,C04,,stress tolerance template
stress_mouse_resp_survival,Mus_musculus,mouse_001,rep1,stress,6h,stress_tolerance,survival_fraction,0.82,ratio,,,,,profile_examples,plate3,C05,,stress tolerance template
stress_mouse_resp_recovery,Mus_musculus,mouse_001,rep1,stress,6h,stress_tolerance,recovery_rate,0.62,ratio,,,,,profile_examples,plate3,C06,,stress tolerance template
stress_mouse_resp_damage,Mus_musculus,mouse_001,rep1,stress,6h,stress_tolerance,damage_marker,0.20,ratio,,,,,profile_examples,plate3,C07,,stress tolerance template
stress_mouse_resp_intensity,Mus_musculus,mouse_001,rep1,stress,6h,stress_tolerance,stress_intensity,0.72,ratio,,,,,profile_examples,plate3,C08,,stress tolerance template
stress_fish_base_survival,Danio_rerio,fish_001,rep1,ambient,0h,stress_tolerance,survival_fraction,0.90,ratio,,,,,profile_examples,plate3,C09,,stress tolerance template
stress_fish_base_recovery,Danio_rerio,fish_001,rep1,ambient,0h,stress_tolerance,recovery_rate,0.76,ratio,,,,,profile_examples,plate3,C10,,stress tolerance template
stress_fish_base_damage,Danio_rerio,fish_001,rep1,ambient,0h,stress_tolerance,damage_marker,0.09,ratio,,,,,profile_examples,plate3,C11,,stress tolerance template
stress_fish_base_intensity,Danio_rerio,fish_001,rep1,ambient,0h,stress_tolerance,stress_intensity,0.48,ratio,,,,,profile_examples,plate3,C12,,stress tolerance template
stress_fish_resp_survival,Danio_rerio,fish_001,rep1,stress,6h,stress_tolerance,survival_fraction,0.78,ratio,,,,,profile_examples,plate3,C13,,stress tolerance template
stress_fish_resp_recovery,Danio_rerio,fish_001,rep1,stress,6h,stress_tolerance,recovery_rate,0.56,ratio,,,,,profile_examples,plate3,C14,,stress tolerance template
stress_fish_resp_damage,Danio_rerio,fish_001,rep1,stress,6h,stress_tolerance,damage_marker,0.22,ratio,,,,,profile_examples,plate3,C15,,stress tolerance template
stress_fish_resp_intensity,Danio_rerio,fish_001,rep1,stress,6h,stress_tolerance,stress_intensity,0.70,ratio,,,,,profile_examples,plate3,C16,,stress tolerance template
stress_chicken_base_survival,Gallus_gallus,chicken_001,rep1,ambient,0h,stress_tolerance,survival_fraction,0.92,ratio,,,,,profile_examples,plate3,C17,,stress tolerance template
stress_chicken_base_recovery,Gallus_gallus,chicken_001,rep1,ambient,0h,stress_tolerance,recovery_rate,0.78,ratio,,,,,profile_examples,plate3,C18,,stress tolerance template
stress_chicken_base_damage,Gallus_gallus,chicken_001,rep1,ambient,0h,stress_tolerance,damage_marker,0.08,ratio,,,,,profile_examples,plate3,C19,,stress tolerance template
stress_chicken_base_intensity,Gallus_gallus,chicken_001,rep1,ambient,0h,stress_tolerance,stress_intensity,0.49,ratio,,,,,profile_examples,plate3,C20,,stress tolerance template
stress_chicken_resp_survival,Gallus_gallus,chicken_001,rep1,stress,6h,stress_tolerance,survival_fraction,0.80,ratio,,,,,profile_examples,plate3,C21,,stress tolerance template
stress_chicken_resp_recovery,Gallus_gallus,chicken_001,rep1,stress,6h,stress_tolerance,recovery_rate,0.59,ratio,,,,,profile_examples,plate3,C22,,stress tolerance template
stress_chicken_resp_damage,Gallus_gallus,chicken_001,rep1,stress,6h,stress_tolerance,damage_marker,0.21,ratio,,,,,profile_examples,plate3,C23,,stress tolerance template
stress_chicken_resp_intensity,Gallus_gallus,chicken_001,rep1,stress,6h,stress_tolerance,stress_intensity,0.71,ratio,,,,,profile_examples,plate3,C24,,stress tolerance template
stress_xenopus_base_survival,Xenopus_tropicalis,xenopus_001,rep1,ambient,0h,stress_tolerance,survival_fraction,0.88,ratio,,,,,profile_examples,plate3,C25,,stress tolerance template
stress_xenopus_base_recovery,Xenopus_tropicalis,xenopus_001,rep1,ambient,0h,stress_tolerance,recovery_rate,0.72,ratio,,,,,profile_examples,plate3,C26,,stress tolerance template
stress_xenopus_base_damage,Xenopus_tropicalis,xenopus_001,rep1,ambient,0h,stress_tolerance,damage_marker,0.10,ratio,,,,,profile_examples,plate3,C27,,stress tolerance template
stress_xenopus_base_intensity,Xenopus_tropicalis,xenopus_001,rep1,ambient,0h,stress_tolerance,stress_intensity,0.47,ratio,,,,,profile_examples,plate3,C28,,stress tolerance template
stress_xenopus_resp_survival,Xenopus_tropicalis,xenopus_001,rep1,stress,6h,stress_tolerance,survival_fraction,0.74,ratio,,,,,profile_examples,plate3,C29,,stress tolerance template
stress_xenopus_resp_recovery,Xenopus_tropicalis,xenopus_001,rep1,stress,6h,stress_tolerance,recovery_rate,0.52,ratio,,,,,profile_examples,plate3,C30,,stress tolerance template
stress_xenopus_resp_damage,Xenopus_tropicalis,xenopus_001,rep1,stress,6h,stress_tolerance,damage_marker,0.24,ratio,,,,,profile_examples,plate3,C31,,stress tolerance template
stress_xenopus_resp_intensity,Xenopus_tropicalis,xenopus_001,rep1,stress,6h,stress_tolerance,stress_intensity,0.69,ratio,,,,,profile_examples,plate3,C32,,stress tolerance template
