sample_id,species,individual_id,replicate_id,condition,timepoint,assay,measurement,value,unit,perturbation,dose,dose_unit,recovery_time,batch,plate_id,well_id,file,notes
pheno_fish_ddr_damage_senescence,Danio_rerio,fish_001,rep1,damage,24h,ddr_response,senescence,0.1,ratio,,,,,batch1,plate1,C12,,DDR/RoR example component
pheno_chicken_ddr_control_viability,Gallus_gallus,chicken_001,rep1,control,0h,ddr_response,viability,0.95,ratio,,,,,batch1,plate1,C13,,DDR/RoR example component
pheno_chicken_ddr_control_apoptosis,Gallus_gallus,chicken_001,rep1,control,0h,ddr_response,apoptosis,0.12,ratio,,,,,batch1,plate1,C14,,DDR/RoR example component
pheno_chicken_ddr_control_senescence,Gallus_gallus,chicken_001,rep1,control,0h,ddr_response,senescence,0.08,ratio,,,,,batch1,plate1,C15,,DDR/RoR example component
pheno_chicken_ddr_damage_viability,Gallus_gallus,chicken_001,rep1,damage,24h,ddr_response,viability,0.72,ratio,,,,,batch1,plate1,C16,,DDR/RoR example component
pheno_chicken_ddr_damage_apoptosis,Gallus_gallus,chicken_001,rep1,damage,24h,ddr_response,apoptosis,0.18,ratio,,,,,batch1,plate1,C17,,DDR/RoR example component
pheno_chicken_ddr_damage_senescence,Gallus_gallus,chicken_001,rep1,damage,24h,ddr_response,senescence,0.12,ratio,,,,,batch1,plate1,C18,,DDR/RoR example component
pheno_xenopus_ddr_control_viability,Xenopus_tropicalis,xenopus_001,rep1,control,0h,ddr_response,viability,0.85,ratio,,,,,batch1,plate1,C19,,DDR/RoR example component
pheno_xenopus_ddr_control_apoptosis,Xenopus_tropicalis,xenopus_001,rep1,control,0h,ddr_response,apoptosis,0.12,ratio,,,,,batch1,plate1,C20,,DDR/RoR example component
pheno_xenopus_ddr_control_senescence,Xenopus_tropicalis,xenopus_001,rep1,control,0h,ddr_response,senescence,0.09,ratio,,,,,batch1,plate1,C21,,DDR/RoR example component
pheno_xenopus_ddr_damage_viability,Xenopus_tropicalis,xenopus_001,rep1,damage,24h,ddr_response,viability,0.75,ratio,,,,,batch1,plate1,C22,,DDR/RoR example component
pheno_xenopus_ddr_damage_apoptosis,Xenopus_tropicalis,xenopus_001,rep1,damage,24h,ddr_response,apoptosis,0.14,ratio,,,,,batch1,plate1,C23,,DDR/RoR example component
pheno_xenopus_ddr_damage_senescence,Xenopus_tropicalis,xenopus_001,rep1,damage,24h,ddr_response,senescence,0.10,ratio,,,,,batch1,plate1,C24,,DDR/RoR example component
